Renta;Ámbito geográfico;Periodo;Total
Media;Espańa;2023;20.676
Media;Espańa;2022;19.160
Media;Espańa;2021;18.103
Media;Espańa;2020;18.116
Media;Espańa;2019;17.287
Media;Espańa;2018;16.937
Media;Espańa;2017;16.390
Media;Espańa;2016;15.842
Media;Espańa;2015;15.408
Media;Espańa;2014;15.405
Media;Espańa;2013;15.635
Media;Espańa;2012;16.119
Media;Espańa;2011;16.280
Media;Espańa;2010;16.922
Media;Espańa;2009;17.042
Media;Espańa;2008;16.190
Media;Espańa;2007;13.266
Media;Espańa;2006;12.643
Media;Espańa;2005;12.008
Media;Espańa;2004;11.621
Media;Unión Europea;2023;23.064
Media;Unión Europea;2022;21.598
Media;Unión Europea;2021;20.913
Media;Unión Europea;2020;20.757
Media;Unión Europea;2019;19.567
Media;Unión Europea;2018;19.067
Media;Unión Europea;2017;18.466
Media;Unión Europea;2016;17.982
Media;Unión Europea;2015;17.554
Media;Unión Europea;2014;17.219
Media;Unión Europea;2013;17.119
Media;Unión Europea;2012;17.035
Media;Unión Europea;2011;16.767
Media;Unión Europea;2010;16.606
Media;Unión Europea;2009;16.702
Media;Unión Europea;2008;16.140
Media;Unión Europea;2007;14.658
Media;Unión Europea;2006;14.291
Media;Unión Europea;2005;14.410
Media;Unión Europea;2004;..
Mediana;Espańa;2023;18.316
Mediana;Espańa;2022;16.814
Mediana;Espańa;2021;15.892
Mediana;Espańa;2020;16.043
Mediana;Espańa;2019;15.015
Mediana;Espańa;2018;14.785
Mediana;Espańa;2017;14.203
Mediana;Espańa;2016;13.681
Mediana;Espańa;2015;13.352
Mediana;Espańa;2014;13.269
Mediana;Espańa;2013;13.524
Mediana;Espańa;2012;13.868
Mediana;Espańa;2011;13.929
Mediana;Espańa;2010;14.605
Mediana;Espańa;2009;14.795
Mediana;Espańa;2008;13.966
Mediana;Espańa;2007;11.645
Mediana;Espańa;2006;11.138
Mediana;Espańa;2005;10.453
Mediana;Espańa;2004;10.327
Mediana;Unión Europea;2023;20.350
Mediana;Unión Europea;2022;19.083
Mediana;Unión Europea;2021;18.368
Mediana;Unión Europea;2020;18.296
Mediana;Unión Europea;2019;17.325
Mediana;Unión Europea;2018;16.832
Mediana;Unión Europea;2017;16.281
Mediana;Unión Europea;2016;15.847
Mediana;Unión Europea;2015;15.422
Mediana;Unión Europea;2014;15.101
Mediana;Unión Europea;2013;14.962
Mediana;Unión Europea;2012;14.924
Mediana;Unión Europea;2011;14.652
Mediana;Unión Europea;2010;14.521
Mediana;Unión Europea;2009;14.564
Mediana;Unión Europea;2008;14.015
Mediana;Unión Europea;2007;12.902
Mediana;Unión Europea;2006;12.677
Mediana;Unión Europea;2005;12.707
Mediana;Unión Europea;2004;..
